"Group Name","Interactive?","Button 1","Loc Key 1","Button 2","Loc Key 2","Button 3","Loc Key 3","Reason/Requestor","SDK Version","","","","","","","","","","","","","","","","","","","",""
"TeakNotificationPlayNow","No","Play Now","Play Now","","","","","SG","0.13.4","","","","","","","","","","","","","","","","","","","",""
"TeakNotificationClaimForFree","No","CLAIM FOR FREE","CLAIM FOR FREE","","","","","SG","0.13.4","","","","","","","","","","","","","","","","","","","",""
"TeakNotificationBox123","No","Box 1","Box 1","Box 2","Box 2","Box 3","Box 3","Mystery Prize/SG","0.13.4","","","","","","","","","","","","","","","","","","","",""
"TeakNotificationGetNow","No","GET NOW","GET NOW","","","","","SG","0.13.4","","","","","","","","","","","","","","","","","","","",""
"TeakNotificationBuyNow","No","BUY NOW","BUY NOW","","","","","SG","0.13.4","","","","","","","","","","","","","","","","","","","",""
"TeakNotificationInteractiveStop","Yes","STOP","STOP","","","","","Mystery Prize (animated EV)/SG","0.13.4","","","","","","","","","","","","","","","","","","","",""
"TeakNotificationLaughingEmoji","No","😄",":smile:","","","","","","0.13.4","","","","","","","","","","","","","","","","","","","",""
"TeakNotificationThumbsUpEmoji","No","👍",":thumbsup:","","","","","","0.13.4","","","","","","","","","","","","","","","","","","","",""
"TeakNotificationPartyEmoji","No","🎉",":tada:","","","","","","0.13.4","","","","","","","","","","","","","","","","","","","",""
"TeakNotificationSlotEmoji","No","🎰",":slot_machine:","","","","","","0.13.4","","","","","","","","","","","","","","","","","","","",""
"TeakNotification123","No","1️⃣",":one:","2️⃣",":two:","3️⃣",":three:","","0.13.4","","","","","","","","","","","","","","","","","","","",""
"TeakNotificationFreeGiftEmoji","No","GET MY FREE 🎁","GET MY FREE :gift:","","","","","","0.13.4","","","","","","","","","","","","","","","","","","","",""
"TeakNotificationYes","No","Yes","Yes","","","","","","0.13.4","","","","","","","","","","","","","","","","","","","",""
"TeakNotificationYesNo","No","Yes","Yes","No","No","","","","0.13.4","","","","","","","","","","","","","","","","","","","",""
"TeakNotificationAccept","No","Accept","Accept","","","","","","0.13.4","","","","","","","","","","","","","","","","","","","",""
"TeakNotificationOkay","No","Okay","Okay","","","","","","0.13.4","","","","","","","","","","","","","","","","","","","",""
"TeakNotificationYesPlease","No","Yes, please","Yes, please","","","","","","0.13.4","","","","","","","","","","","","","","","","","","","",""
"TeakNotificationClaimFreeBonus","No","Claim Free Bonus","Claim Free Bonus","","","","","","0.13.4","","","","","","","","","","","","","","","","","","","",""
